mol             MMW             Tb[K]           Tc[K]           Pc[bar]         w
0               178.0           588.1           866.1           32.05           0.3557
1               176.0           543.5           790.9           25.83           0.3206
2               168.0           552.8           812.2           28.49           0.3191
3               167.0           596.1           852.0           30.62           0.4807
4               197.0           508.5           717.0           18.14           0.3095
5               190.0           558.1           806.7           24.73           0.3330
6               112.0           389.3           597.2           30.75           0.1850
7               140.0           434.3           644.8           25.69           0.2371
8               186.0           555.5           805.3           24.77           0.3200
9               570.0           765.8           942.1           8.51            0.6030
10              574.0           763.9           937.2           8.38            0.6111
11              492.0           711.8           892.7           8.82            0.5141
12              226.0           515.6           716.4           14.85           0.2826
13              982.0           910.7           1050.9          6.86            0.9004
14              78.0            358.9           578.5           48.95           0.1734
15              94.0            382.5           604.1           42.18           0.1918
16              100.0           351.7           536.2           27.83           0.1725
17              84.0            358.3           560.5           41.29           0.2158
18              98.0            374.3           579.6           35.32           0.2004
19              102.0           345.3           521.2           28.33           0.2127
20              60.0            321.0           500.8           56.41           0.3235
